#OTU ID	B61	EXB033.A1201	G12_2E5_YaleRun2	G12_2E6_YaleRun2	G12_2E7_YaleRun2	G12_2E8_YaleRun2	G12_25_2E5_YaleRun1	G12_25_2E6_YaleRun1	G12_25_2E7_YaleRun1	G12_25_2E8_YaleRun1	G12_pub	LIB025.A1601	R31	R32A	R32B	R33	SMH005.A0101	SMH005.A0102	SMH007.A0101	SMH007.A0102	SMH008.A0101	SMH008.A0102	ERR5729614	ERR5729615	ERR5729616	ERR5729617	ERR5729618	ERR5729619	ERR5729620	ERR5729621	ERR5729622	ERR5729623	ERR5729624	ERR5729625	ERR5729626	ERR5729627	ERR5729628	ERR5729629	ERR5729630	ERR5729631	ERR5729632	ERR5729633	ERR5729634	ERR5729635	ERR5729636	ERR5729637	ERR5729638	ERR5729639	ERR5729640	ERR5729641	ERR5729642	ERR5729643	ERR5729644	ERR5729645	ERR5729646	ERR5729647	ERR5729648	ERR5729649	ERR5729650	ERR5729651	ERR5729652	ERR5729653	ERR5729654	ERR5729655	ERR5729656	ERR5729657	BAN001.A0101	BSQ001.A0101	DLV001.A0101	ECO002.B0101	ECO002.C0101	ECO004.B0101	ECO004.C0101	ECO006.B0101	ECO010.B0101	EMN001.A0101	FUM001.A0101	FUM002.A0101	FUM003.A0101	GDN001.A0101	GDN001.B0101	GUE001.A0101	LIS001.A0101	LIS003.A0101	OFN001.A0101	PES001.B0101	PLV001.A0101	RIG001.A0101	SPM001.A0101	SPM002.A0101	VLD001.A0101	WAL001.A0101	ZAF001.A0101	ARS001.A0101	ARS004.A0101	ARS005.A0101	ARS010.A0101	ARS011.A0101	ARS012.A0101	ARS013.A0101	ARS015.A0101	ARS017.A0101	ARS020.A0101	ERR1883418	ERR1883419	ERR1883420	ERR1883421	ERR1883422	ERR1883423	ERR1883424	ERR1883430	ERR1883436	ERR1883438	JAE006.A0101	JAE007.A0101	JAE008.A0101	JAE009.A0101	JAE012.A0101	SRR059389	SRR059455	SRR059917	SRR060358	SRR061192	SRR061294	SRR061320	SRR061365	SRR061562	SRR062083	SRR062298	SRR062299	SRR063517	SRR1631060	SRR1631061	SRR1631063	SRR1631064	SRR1633008	SRR1761677	SRR1761682	SRR1761688	SRR1761698	SRR1761705	SRR1761721	SRR1804664	SRR1804823	SRR1929408	SRR1930121	SRR1930123	SRR1930141	SRR1930145	SRR3184100	SRR3184876	SRR3189411	SRR3189416	SRR3189418	SRR512767	SRR513165	SRR513768	SRR513775	SRR513828	SRR514202	SRR514239	SRR514306	SRR514329	VLC001.A0101	VLC002.A0101	VLC003.A0101	VLC004.A0101	VLC005.A0101
Geothrix fermentans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	273	0	0	0	0	0	0	0	0	0	0	0	0	321	318	826	265	0	477	518	574	393	0	0	0	139	0	0	220	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Luteitalea pratensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	981	0	0	0	0	7306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1428	0	0	385	64	0	0	679	480	1976	0	0	446	0	0	835	0	2797	0	0	0	0	0	0	106	0	0	0	473	18543	9951	7146	21208	9833	8848	16125	16358	31537	15226	758	523	1311	1903	1294	1085	4410	554	787	5175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Gracilibacteria bacterium HOT-871	0	0	0	776	0	949	0	3856	0	2813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8085	0	23244	0	0	0	0	14441	0	38489	0	15374	0	1372	1097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7478	8197	0	0	0	7000	7925	0	0	1197	0	0	0
Bacteroides heparinolyticus	5397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	866	16984	672	17390	276	17908	3100	0	7596	3292	3011	0	0	0	0	0	0	10729	6007	1235	2004	1409	0	1700	0	2192	0	0	2980	0	1980	0	5357	2496	0	5055	0	2664	1298	4151	3466	6782	2653	0	1686	0	0	0	0	0	0	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	167	0	0	0	0	0	0	0	0	0	0	0	35635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2623	1667	0	0	0	0	0	3584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60256	0	0	0	0
Bacteroides pyogenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	994	23662	0	0	0	0	3631	1428	0	0	14652	2188	1985	0	0	2208	2098	10417	0	3044	1552	1970	4059	2428	3019	0	2624	0	0	0	2808	4972	0	9652	2893	0	8453	1265	0	0	0	0	0	1517	3917	2145	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2504	721	654	358	0	0	0	0	335	0	0	0	0	0	0	0	0	6167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1609	0	0	0	0	6147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides xylanisolvens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	150	0	0	0	0	0	0	0	0	0	0	0	0	0	73071	5692	119969	9018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12823	0	27228	0	3736	3186	0	0	4180	3971	8558	11264	3021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phocaeicola abscessus	34786	0	17013	9948	17390	14937	115623	45424	59328	36529	49940	0	76487	43084	49605	30052	2755	55845	7912	199757	5605	344406	19670	0	96024	3623	1431	0	0	0	0	0	0	5837	11467	5136	4428	8418	0	1514	10582	9363	8449	0	0	0	24362	0	14753	4675	7262	30078	7581	33561	1986	6173	13067	2934	41818	0	6771	1215	0	17307	15605	26061	0	2493	0	3755	1829	58788	2665	1207	11830	0	0	0	0	0	0	0	21170	15662	5855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93888	23996	214331	406851	186121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8381	0	0	0	0	0	0	0	802959	163658	230091	302303	314414
Phocaeicola plebeius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Petrimonas mucosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11771	0	0	0	0	1704	0	0	2467	5080	0	0	0	0	0	0	4186	0	0	0	0	0	0	0	0	0	0	0	0	0	1900	0	2791	0	0	1631	0	0	0	0	0	0	0	1310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5561	0	0	0	0	4893	12816	0	1554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas asaccharolytica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas catoniae	13391	0	2428	1598	3849	3380	16087	7211	12860	8034	9359	0	6403	0	0	6395	1406	32390	0	0	408	29604	1747	0	0	3564	1702	3067	2860	0	4504	3355	0	2945	3907	0	21570	1585	0	2354	4880	20526	0	0	0	3581	0	1721	0	4214	12538	7565	0	8528	0	6535	7233	63205	3919	6243	0	0	0	0	0	4249	0	0	0	0	350	371	0	0	0	11620	0	0	891	0	0	0	0	2544	922	0	3268	3777	0	0	0	0	348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60097	24309	101516	158793	96542	0	0	0	0	78192	27077	81330	12132	369994	66257	74932	25722	3178	0	0	0	0	0	0	0	0	0	0	0	75270	2821	0	0	0	0	0	0	0	1827	1582	1463	34238	127294	475791	33679	290059	0	206736	118621	187321	24921	35907	116769	46703	49600
Porphyromonas circumdentaria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1226	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas gingivalis	12860	0	19156	9354	15911	10992	126997	43756	53026	28030	46438	0	46573	383736	253120	80994	4876	97814	1880	44941	1739	109473	23069	13276	45362	20353	12700	12912	41856	12888	12928	5089	0	892528	170837	22889	105305	36957	2981	23017	44353	68019	40502	0	177408	3307	3353	15423	52864	28996	43365	44988	11532	33576	33603	92871	49141	7354	30851	0	11945	8389	6699	18065	22036	4102	0	1788	136	5857	3567	3848	9756	0	1236	1131	0	4006	0	547	0	0	19125	9259	8343	0	366	3230	0	567	0	0	308	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0	0	0	12603	13811	18676	635990	28088	0	0	0	0	2192	3318	2933	0	2905	0	8431	3178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6118	2394	4173	0	0	6196	6072	2566	814495	7404	2448	35349	70993
Porphyromonas gulae	0	0	0	0	0	0	0	0	0	0	0	0	0	4262	2730	0	0	0	0	0	0	0	0	0	0	0	0	0	1848	0	0	0	0	8841	4249	0	1824	0	0	0	0	0	0	0	3547	0	0	0	0	0	0	1190	0	0	1687	1532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1590	1722	1892	1879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3463	0	0	0	0
Porphyromonas uenonis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas sp. HMSC065F10	0	276	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2904	2485	2318	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas sp. KLE 1280	10591	0	3025	2098	2902	2473	19644	9278	9204	5461	7958	0	79876	0	0	0	549	12344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1765	0	0	2207	0	0	0	0	3932	0	0	0	0	0	0	0	0	0	0	0	0	0	1291	0	6883	0	0	0	0	0	0	0	28217	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1023	0	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67772	9516	101548	0	0	0	0	39228	89361	2710	16734	742422	20095	126018	3719	82182	1722	1767	2008	1942	3567	0	0	0	0	0	0	2454	0	0	0	0	0	0	0	3994	21449	19958	17860	23062	25404	0	268609	138237	0	17253	108609	83191	0	3970	41475	6246	3371
Porphyromonas sp. oral taxon 278	52990	0	4573	3643	5043	5438	28809	15985	16550	12319	14437	0	12464	3711	0	0	979	26272	0	0	592	44598	12104	3823	4638	8648	2567	2564	6078	0	3654	16494	0	5420	5739	0	26061	10756	0	11985	53434	16994	2916	0	0	1765	0	5480	0	5523	3580	0	0	4825	0	29244	28471	79317	8422	0	0	0	0	0	0	4158	0	171	67	0	0	0	0	0	0	687	0	0	0	0	0	0	0	2902	0	0	427	3357	0	132	0	0	840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6450	42029	10511	25411	0	0	0	0	14212	1544	2573	0	502224	0	33668	3075	12915	0	0	0	0	0	0	0	0	0	0	0	0	20899	0	0	0	0	0	0	0	0	0	0	0	16294	2619	9225	337939	0	101963	4970	134489	0	6121	9702	8616	0
Alloprevotella sp. oral taxon 473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20789	0	0	9138	0
Alloprevotella tannerae	0	0	0	0	0	0	0	0	0	0	0	0	0	17545	8581	0	689	14206	0	0	0	0	1944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4649	0	0	0	0	0	0	0	0	2403	2335	0	1258	1150	1425	0	1599	1455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31232	0	9618	0	0	0	0	2364	251699	0	0	3734	0	245842	305949	0	2479	2478	2747	2699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1920	1631	1632	0	54333	0	144896	0	0	0	0	127481	146618	1268	0	175292	0
Prevotella amnii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7291	0	0	0	0	0	0	0	0	0	0	1652	603	0	0	0	0	0	0	0	0	0	0	6147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1363	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella baroniae	0	0	0	0	0	0	0	0	0	0	0	0	5360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27658	6724	7462	0	0	0	0	0	0	0	0	3312	0	6272	697	0	0	0	0	0	0	0	0	0	0	7705	0	0	0	4524	9811	20128	12574	3789	0	0	0	0	0	0	6070	0	0	0	0	0	0	0	16211	3740	5297	0	0
Prevotella bergensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4670	0	0	0	2362	3911	15335	6040	2094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella bivia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1376	1085	0	0	0	0	0	0	0	0	0	0	13201	0	0	0	4227	7154	11658	6612	3169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella buccae	5161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	507	13771	0	0	1551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9711	0	0	0	0	0	0	846	0	0	0	0	7392	2098	0	0	0	0	0	0	2851	0	0	4846	19342	2057	0	0	16016	15123	31093	24230	5909	0	0	0	0	0	0	1272	0	0	0	0	1316	11841	6073	14542	5264	5189	100196	0
Prevotella buccalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10535	0	0	0	5338	7472	12360	7782	3826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella colorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3180	15801	0	0	0	2614	9500	21835	4680	4851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella conceptionensis	10403	0	2766	1741	2572	1946	19138	8007	8575	4929	7792	0	14309	8937	6827	6808	1735	33010	679	15940	1070	59645	3125	3377	3273	1771	2792	0	1472	0	1583	1945	0	2433	2538	0	5100	3644	0	3799	6660	10766	6445	0	1588	1545	0	3775	4115	5007	4972	11112	1200	4924	0	6395	4433	34025	4053	0	2084	5810	0	0	1792	3355	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1648	666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7136	14297	5899	0	0	0	0	39403	44662	56481	0	17606	0	32572	82463	0	0	0	0	0	0	0	0	0	0	2013	0	0	0	3260	5508	0	8090	1756	0	0	0	0	0	0	63440	0	38026	134730	0	72661	9318	0	5606	2776	0	15752	0
Prevotella copri	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15968	0	0	0	0	0	0	0	0	0	0	13241	13718	15027	15288	0	0	0	0	892443	906397	2021294	0	0	6001864	2373393	4325896	4484099	2582397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella corporis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41936	0	0	0	3003	10999	9862	6233	3965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella denticola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2225	0	0	0	0	13756	50448	0	14880	15205	16667	16489	0	0	0	0	0	10701	0	0	0	3395	8276	15307	14433	3569	2061	2522	1964	1829	1595	0	27862	2552	43955	0	1664	53683	3399	0	0	0	0	22541	0
Prevotella enoeca	0	0	0	0	0	0	0	0	0	0	0	0	0	4336	4438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19480	8013	5966	0	0	0	0	0	880	0	0	0	0	36868	24107	0	0	0	0	0	0	0	0	0	0	3687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31340	3066	25955	1977	6657	42719	24426	20781	0	0	14877	0
Prevotella fusca	0	0	0	0	0	0	0	0	0	0	0	0	0	2757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3779	963	0	0	0	0	0	0	0	0	0	0	7246	0	0	0	0	4081	6393	4386	1984	0	0	0	0	0	0	0	2458	0	0	1163	0	0	0	0	0	0	0	0
Prevotella histicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1698	550	0	3277	3376	3601	3613	0	0	0	0	0	10774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5885	0	1172	0	0	0	0	0	0	0	0
