Eager_label	avg_gc	avg_rl	No_reads_no_human
R3-AncBL1	52.0687082976903	76.6082121471343	1169
R3-AncBL2	53.8198565279771	70.6642754662841	697
R3Bag	48.2284013377926	81.7799331103679	1495
R3Box	50.8691637010676	81.9421708185053	1124
R3FR	47.8214173998045	75.2766373411535	1023
R3GL	52.3896911667036	101.792340048705	9034
R3HS	49.1587018544936	74.0057061340942	701
R3MODBL	49.3868763102725	77.6761006289308	954
