Study	Study_accession	Sample_type	Sample_group	Eager_label	Secondary_sample_accession	Run_accession	Sample_alias	Host	Common_name	Species	Subspeices	Kind	Habitat	Diet	Country	Other_sample_codes	Age_BP	avg_gc	avg_rl	No_reads_no_human
Velsko2022	PRJEB52394	calculus	ancient_calculus	MID097.A0101	ERS11702812	ERR9612894	MID097.A0101	Human							The Netherlands		250	48	64.40478663	10539876
Velsko2022	PRJEB52394	calculus	ancient_calculus	MID101.A0101	ERS11702813	ERR9612895	MID101.A0101	Human							The Netherlands		250	48	65.80537173	9776995
Velsko2022	PRJEB52394	calculus	ancient_calculus	MID101.A0101	ERS11702813	ERR9612896	MID101.A0101	Human							The Netherlands		250	48	65.80537173	9776995
Velsko2022	PRJEB52394	calculus	ancient_calculus	MID102.A0101	ERS11702814	ERR9612897	MID102.A0101	Human							The Netherlands		250	47.375	64.68449197	10010623
Velsko2022	PRJEB52394	calculus	ancient_calculus	MID102.A0101	ERS11702814	ERR9612898	MID102.A0101	Human							The Netherlands		250	47.375	64.68449197	10010623
Warinner2014	PRJNA216965	calculus	ancient_calculus	B61	SRS473742	SRR957738	B61	Human							Germany		1000	52	77.9627983654723	8797893
Warinner2014	PRJNA216965	calculus	ancient_calculus	B61	SRS473743	SRR957739	B61	Human							Germany		1000	52	77.9627983654723	8797893
Warinner2014	PRJNA216965	calculus	ancient_calculus	B61	SRS473744	SRR957740	B61	Human							Germany		1000	52	77.9627983654723	8797893
Warinner2014	PRJNA216965	calculus	ancient_calculus	B61	SRS473745	SRR957741	B61	Human							Germany		1000	52	77.9627983654723	8797893
Warinner2014	PRJNA216965	calculus	ancient_calculus	G12	SRS473746	SRR957742	G12	Human							Germany		1000	41	145.860790379882	59569001
Warinner2014	PRJNA216965	calculus	ancient_calculus	G12	SRS473747	SRR957743	G12	Human							Germany		1000	41	145.860790379882	59569001
Warinner2014	PRJNA216965	calculus	ancient_calculus	G12	SRS473748	SRR957744	G12	Human							Germany		1000	41	145.860790379882	59569001
Warinner2014	PRJNA216965	calculus	ancient_calculus	G12	SRS473749	SRR957745	G12	Human							Germany		1000	41	145.860790379882	59569001
Warinner2014	PRJNA216965	calculus	ancient_calculus	G12	SRS473750	SRR957746	G12	Human							Germany		1000	41	145.860790379882	59569001
Weyrich2017	PRJNA685265	calculus	ancient_calculus	SRR13263126	SRS7890495	SRR13263126	UrbMed1	Human							United Kingdom		800	47	108.912429327177	110014
Weyrich2017	PRJNA685265	calculus	ancient_calculus	SRR13263127	SRS7890492	SRR13263127	UrbWar2	Human							United Kingdom		800	48	107.177259587876	134571
